month,year,company,sentiment_score
5,23,SLG,-1.0
7,23,SLG,-1.0
8,23,SLG,-1.0
2,18,VRE,0.9819
2,19,VRE,0.969
2,20,VRE,0.9169
1,21,VRE,0.9992
4,21,VRE,0.9992
4,22,VRE,0.9921
5,22,VRE,0.9993
10,22,VRE,1.0
1,23,VRE,0.9999
7,23,VRE,0.6808
